GPU time: 47.294s for 20
building_id,mean,std,%>18,%<15
10000,14.0166,6.3676,31.0,55.5
10009,11.0102,5.8093,16.7,74.9
10014,14.7599,7.0283,38.3,52.7
10019,14.7520,7.0205,38.2,52.9
10029,10.6225,6.3125,18.3,74.5
10031,12.5186,6.2761,24.1,66.3
10051,13.2905,5.9990,26.0,62.8
10053,11.3743,6.2590,20.0,72.4
10056,14.2215,6.1794,31.8,57.1
10064,12.7294,6.9641,28.9,62.7
10075,15.1769,6.4433,39.3,47.3
10079,15.1057,7.3103,41.9,49.4
10080,15.7885,7.2767,46.4,44.7
10082,16.4816,6.7061,48.7,40.5
10083,15.6423,7.1207,44.9,45.9
10084,15.1034,7.1499,40.9,50.3
10085,15.8719,7.1916,46.2,44.7
10086,14.4012,7.2126,37.3,53.0
10087,15.0875,7.2681,41.6,49.8
10089,14.0050,7.2688,35.5,56.3
