GPU time: 12725.382s for 4571
building_id,mean,std,%>18,%<15
10000,14.0166,6.3676,31.0,55.5
10009,11.0102,5.8093,16.7,74.9
10014,14.7599,7.0283,38.3,52.7
10019,14.7520,7.0205,38.2,52.9
10029,10.6225,6.3125,18.3,74.5
10031,12.5186,6.2761,24.1,66.3
10051,13.2905,5.9990,26.0,62.8
10053,11.3743,6.2590,20.0,72.4
10056,14.2215,6.1794,31.8,57.1
10064,12.7294,6.9641,28.9,62.7
10075,15.1769,6.4433,39.3,47.3
10079,15.1057,7.3103,41.9,49.4
10080,15.7885,7.2767,46.4,44.7
10082,16.4816,6.7061,48.7,40.5
10083,15.6423,7.1207,44.9,45.9
10084,15.1034,7.1499,40.9,50.3
10085,15.8719,7.1916,46.2,44.7
10086,14.4012,7.2126,37.3,53.0
10087,15.0875,7.2681,41.6,49.8
10089,14.0050,7.2688,35.5,56.3
10090,14.2923,6.6199,36.7,51.2
10093,14.1076,6.5639,33.4,56.4
10094,14.2069,6.7567,35.4,54.9
10097,14.3579,6.8642,37.8,51.3
10117,15.4680,6.6826,44.1,44.5
10119,14.0896,6.7518,35.1,54.7
10120,15.2825,8.0318,46.2,47.7
10124,13.8691,7.0317,34.6,56.0
10126,13.4008,6.6360,29.7,61.1
10128,17.4294,6.7065,56.0,34.9
10136,15.4297,7.2732,44.3,46.9
10144,12.1185,6.1262,21.8,68.8
10145,10.6628,5.8915,16.6,75.3
10150,14.9641,7.4940,41.2,50.7
10161,13.4515,7.0294,31.8,59.5
10165,13.0555,6.7320,29.1,62.0
10167,13.2345,6.8133,30.2,60.8
10168,13.1951,6.8998,30.3,60.5
10174,16.6088,6.9559,49.5,41.2
10176,16.6822,6.8425,49.9,40.6
10177,16.6480,6.7754,49.2,40.8
10180,16.5117,6.8540,48.3,42.0
10182,16.7406,6.3204,50.9,37.5
10198,14.4394,7.3450,38.7,53.2
10199,17.2548,6.9780,54.0,37.6
10200,12.8352,7.2551,30.7,61.6
10201,15.9607,7.2712,47.1,44.6
10202,13.5546,7.4954,34.1,58.6
10203,16.8163,6.6134,51.3,38.8
10204,14.7735,7.0633,39.1,51.7
10205,11.4607,6.6619,23.2,69.3
10206,10.1352,6.3586,17.6,76.3
10207,11.3984,6.6097,22.7,69.8
10208,9.5083,5.5405,12.0,82.2
1021,16.7679,6.3715,48.9,39.5
10215,15.4696,7.1490,44.3,46.6
10219,14.1594,7.2998,37.3,54.2
1022,17.7851,6.2165,57.6,31.8
1023,18.9898,5.8436,65.3,25.0
1024,18.3061,5.9301,60.6,28.8
10243,16.6147,6.2045,49.0,38.1
10244,15.5734,6.6220,44.1,43.5
10245,16.6601,6.2136,49.2,37.9
10247,15.6107,6.6200,44.7,43.1
10249,16.1271,6.2328,46.0,40.4
1025,17.5395,6.3296,56.1,33.8
10251,12.1933,7.5918,29.2,65.1
10252,12.0149,7.6019,27.5,67.0
10255,11.9445,7.2177,25.8,67.9
10257,15.2611,7.2834,40.8,51.1
10259,12.6674,7.6210,30.5,63.8
1026,18.5598,5.7104,62.0,26.7
10260,13.6828,7.2102,33.7,58.0
10262,14.7375,7.4458,39.2,53.0
10263,16.7627,7.0694,49.5,41.7
10265,15.0948,7.1657,40.8,50.5
10267,16.2781,7.4731,49.1,43.1
10268,16.9474,6.9745,51.4,39.7
10269,18.6186,6.7824,62.0,30.3
